,越南,印尼,新加坡,文莱,泰国,日本,缅甸,马来西亚,老挝,柬埔寨,菲律宾,韩国,中国
越南,0,37.2533027609869,41.8567185143921,35.2521470352524,39.7576318570292,46.1577292992363,35.3396761091834,38.9962863648961,35.5812728171544,36.2668870519528,36.0669660734814,48.3960033134766,60.0438061627426
印尼,37.2533027609869,0,71.7230990577408,35.3597431420243,40.9689913246573,50.8503216713884,35.5309776609561,49.3901289974881,35.1854938544077,35.3239275788066,37.5942315835582,42.4844512673349,61.9458618786922
新加坡,41.8567185143921,71.7230990577408,0,36.4886634815139,52.937334972976,58.3542401319623,36.8480794749601,79.9475371899785,35.2674101125399,35.5889913303262,40.8207646430273,51.4116870768522,89.1592013424291
文莱,35.2521470352524,35.3597431420243,36.4886634815139,0,35.4788149982636,36.091471726612,35.1904510739868,36.2695576111808,35.1828137809543,35.1828699671297,35.3028580797641,35.6222063769908,35.729005027692
泰国,39.7576318570292,40.9689913246573,52.937334972976,35.4788149982636,0,59.4782874287443,37.6635787786203,45.2189044108281,37.0536249033513,42.027973279189,38.4396466396717,40.0532831286983,64.9019052359126
日本,46.1577292992363,50.8503216713884,58.3542401319623,36.091471726612,59.4782874287443,0,35.7948901934476,48.9433301602634,35.2434213786882,35.5571545016398,45.3991263224777,80.3860951630474,94.3038399186771
缅甸,35.3396761091834,35.5309776609561,36.8480794749601,35.1904510739868,37.6635787786203,35.7948901934476,0,36.1930551084821,35.1828110341306,35.1831247314786,35.2114338086297,35.8265467767291,43.5250614762221
马来西亚,38.9962863648961,49.3901289974881,79.9475371899785,36.2695576111808,45.2189044108281,48.9433301602634,36.1930551084821,0,35.1883327459402,35.3894257973615,37.6165798897891,41.4753026154076,68.0157306633326
老挝,35.5812728171544,35.1854938544077,35.2674101125399,35.1828137809543,37.0536249033513,35.2434213786882,35.1828110341306,35.1883327459402,0,35.1846704981831,35.1877972950189,35.2737222276588,45.3873307249754
柬埔寨,36.2668870519528,35.3239275788066,35.5889913303262,35.1828699671297,42.027973279189,35.5571545016398,35.1831247314786,35.3894257973615,35.1846704981831,0,35.1902210167975,35.6186606010892,38.4703563817273
菲律宾,36.0669660734814,37.5942315835582,40.8207646430273,35.3028580797641,38.4396466396717,45.3991263224777,35.2114338086297,37.6165798897891,35.1877972950189,35.1902210167975,0,39.9076442111723,52.8251298867223
韩国,48.3960033134766,42.4844512673349,51.4116870768522,35.6222063769908,40.0532831286983,80.3860951630474,35.8265467767291,41.4753026154076,35.2737222276588,35.6186606010892,39.9076442111723,0,94.8618061058256
中国,60.0438061627426,61.9458618786922,89.1592013424291,35.729005027692,64.9019052359126,94.3038399186771,43.5250614762221,68.0157306633326,45.3873307249754,38.4703563817273,52.8251298867223,94.8618061058256,0
