,越南,印尼,新加坡,文莱,泰国,日本,缅甸,马来西亚,老挝,柬埔寨,菲律宾,韩国,中国
越南,0,39.3567005687416,39.530224676385,39.3500109139516,39.4966449224183,44.8527309342238,39.3500109139516,40.3598635081573,39.3500109139516,39.3500109139516,39.3534662388469,42.5339807353856,44.1262418941916
印尼,39.3567005687416,0,63.3796167773559,39.3678589561305,39.657074885155,50.8996066707066,39.3500109139516,44.9716374340265,39.3500109139516,39.3500109139516,39.3652087320278,41.3708609106917,59.6136213068193
新加坡,39.530224676385,63.3796167773559,0,39.6660301768892,53.8414745270498,66.0420232525464,39.8175105488974,63.6438336598927,39.3592183418294,39.4146707045398,40.556099308935,46.0073564222081,82.2867441633636
文莱,39.3500109139516,39.3678589561305,39.6660301768892,0,39.3587195599259,39.3500109139516,39.3500109139516,39.3500109139516,39.3500109139516,39.3500109139516,39.3500109139516,39.3565515578933,39.2035072600542
泰国,39.4966449224183,39.657074885155,53.8414745270498,39.3587195599259,0,62.2692656391667,39.3981128465663,40.999639974606,39.6106992530933,56.1656481720386,39.4954190826101,40.5677959135565,56.5729188780456
日本,44.8527309342238,50.8996066707066,66.0420232525464,39.3500109139516,62.2692656391667,0,39.3500109139516,46.5403074506291,39.3500109139516,39.3500109139516,43.7947239082015,57.6758456791382,81.1695972052631
缅甸,39.3500109139516,39.3500109139516,39.8175105488974,39.3500109139516,39.3981128465663,39.3500109139516,0,39.3500109139516,39.3500109139516,39.3500109139516,39.3500109139516,40.2761862574182,51.2831967352338
马来西亚,40.3598635081573,44.9716374340265,63.6438336598927,39.3500109139516,40.999639974606,46.5403074506291,39.3500109139516,0,39.3500109139516,39.6297011722743,39.5396457209996,41.6200985158546,55.8385433828942
老挝,39.3500109139516,39.3500109139516,39.3592183418294,39.3500109139516,39.6106992530933,39.3500109139516,39.3500109139516,39.3500109139516,0,39.3500109139516,39.3500109139516,39.4460768913679,70.7698260380914
柬埔寨,39.3500109139516,39.3500109139516,39.4146707045398,39.3500109139516,56.1656481720386,39.3500109139516,39.3500109139516,39.6297011722743,39.3500109139516,0,39.3522530514689,39.8965723514205,45.5616168649338
菲律宾,39.3534662388469,39.3652087320278,40.556099308935,39.3500109139516,39.4954190826101,43.7947239082015,39.3500109139516,39.5396457209996,39.3500109139516,39.3522530514689,0,40.3620876436485,51.2974168114215
韩国,42.5339807353856,41.3708609106917,46.0073564222081,39.3565515578933,40.5677959135565,57.6758456791382,40.2761862574182,41.6200985158546,39.4460768913679,39.8965723514205,40.3620876436485,0,82.9097408639675
中国,44.1262418941916,59.6136213068193,82.2867441633636,39.2035072600542,56.5729188780456,81.1695972052631,51.2831967352338,55.8385433828942,70.7698260380914,45.5616168649338,51.2974168114215,82.9097408639675,0
