,越南,印尼,新加坡,文莱,泰国,日本,缅甸,马来西亚,老挝,柬埔寨,菲律宾,韩国,中国
越南,0,36.2240188873848,39.574200553569,35.4040959306146,36.7091315956312,36.6890519462713,35.354615949982,37.4538489334503,35.3447224246251,35.3447224246251,36.2790155665711,36.0445807043357,44.2580112819704
印尼,36.2240188873848,0,93.5549637229075,35.696536570986,39.6973656505626,42.3386586233328,35.7064575736224,60.3965212549882,35.3447224246251,35.3447224246251,39.0114793815222,40.3401768608818,53.2190510170231
新加坡,39.574200553569,93.5549637229075,0,37.6009425962603,59.79850842418,52.3119539604526,37.6907915891761,99.3157899860747,35.3447224246251,35.4734088234779,42.6427257177495,52.6047998970847,97.5325971486306
文莱,35.4040959306146,35.696536570986,37.6009425962603,0,35.5378203414722,35.97487156137,35.3694569797601,38.1071388167704,35.3447224246251,35.3447224246251,35.7263334414484,35.592344109189,35.726316041143
泰国,36.7091315956312,39.6973656505626,59.79850842418,35.5378203414722,0,41.1870336554178,35.6369815138345,43.5841089615894,35.3447224246251,35.418954222034,38.1587693019382,38.7767414414135,49.2312623710472
日本,36.6890519462713,42.3386586233328,52.3119539604526,35.97487156137,41.1870336554178,0,35.4337972372291,38.3861868458381,35.3447224246251,35.3496689399557,44.5670295660983,99.9944052015626,99.8433852183452
缅甸,35.354615949982,35.7064575736224,37.6907915891761,35.3694569797601,35.6369815138345,35.4337972372291,0,37.7208281907965,35.3447224246251,35.3447224246251,35.3843009750039,35.3892499608029,35.5477364632556
马来西亚,37.4538489334503,60.3965212549882,99.3157899860747,38.1071388167704,43.5841089615894,38.3861868458381,37.7208281907965,0,35.3447224246251,35.3645099697337,38.313736429908,37.8573368373696,56.5588998721796
老挝,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251,0,35.3447224246251,35.3447224246251,35.3447224246251,35.3447224246251
柬埔寨,35.3447224246251,35.3447224246251,35.4734088234779,35.3447224246251,35.418954222034,35.3496689399557,35.3447224246251,35.3645099697337,35.3447224246251,0,35.3447224246251,35.3595634544032,35.3843049253445
菲律宾,36.2790155665711,39.0114793815222,42.6427257177495,35.7263334414484,38.1587693019382,44.5670295660983,35.3843009750039,38.313736429908,35.3447224246251,35.3447224246251,0,40.134008846093,51.2358925740487
韩国,36.0445807043357,40.3401768608818,52.6047998970847,35.592344109189,38.7767414414135,99.9944052015626,35.3892499608029,37.8573368373696,35.3447224246251,35.3595634544032,40.134008846093,0,99.9999928683364
中国,44.2580112819704,53.2190510170231,97.5325971486306,35.726316041143,49.2312623710472,99.8433852183452,35.5477364632556,56.5588998721796,35.3447224246251,35.3843049253445,51.2358925740487,99.9999928683364,0
