,越南,印尼,新加坡,文莱,泰国,日本,缅甸,马来西亚,老挝,柬埔寨,菲律宾,韩国,中国
越南,0,36.4477173103724,45.3134773635148,32.0647874547064,42.2397472540358,54.2379860877192,32.3207201250082,39.1304315810344,32.9321320389534,34.6461676259495,33.4430538296398,62.0560872039005,83.8213255247351
印尼,36.4477173103724,0,61.6068122691544,32.1010612097234,42.9066479098551,57.1971052079414,32.5350927867097,44.4492034769593,31.9426846320867,32.2887689430839,35.203062873733,44.9278498396571,70.2401504538488
新加坡,45.3134773635148,61.6068122691544,0,33.2714291239225,47.1133502190176,57.1201174201564,33.9889720838452,77.6491252404707,32.140569706509,32.8064186798024,39.6527928375548,54.5701004526608,88.0334973720771
文莱,32.0647874547064,32.1010612097234,33.2714291239225,0,32.5246325696105,33.7350174600389,31.9365267646833,32.5810317299104,31.9359844484532,31.9361249138917,31.9498869328603,32.8438441921652,33.1251450933321
泰国,42.2397472540358,42.9066479098551,47.1133502190176,32.5246325696105,0,71.1034941009223,37.8826261762502,49.6094493249237,36.4174960000894,36.3814814024181,37.8584753107681,40.6248048055182,82.901627152962
日本,54.2379860877192,57.1971052079414,57.1201174201564,33.7350174600389,71.1034941009223,0,33.3993693702336,58.663454678308,32.087503442788,32.8681263636691,47.2265007004694,82.7125497470928,99.9998629789864
缅甸,32.3207201250082,32.5350927867097,33.9889720838452,31.9365267646833,37.8826261762502,33.3993693702336,0,32.6795084426442,31.9359775813939,31.936761824764,31.9778506048576,32.8172897781569,43.6894537916881
马来西亚,39.1304315810344,44.4492034769593,77.6491252404707,32.5810317299104,49.6094493249237,58.663454678308,32.6795084426442,0,31.949781860918,32.2279061368977,35.651413111292,44.0801800236008,85.7412442170261
老挝,32.9321320389534,31.9426846320867,32.140569706509,31.9359844484532,36.4174960000894,32.087503442788,31.9359775813939,31.949781860918,0,31.9406262415251,31.9484432336146,32.0912060821522,33.8824154654011
柬埔寨,34.6461676259495,32.2887689430839,32.8064186798024,31.9361249138917,36.3814814024181,32.8681263636691,31.936761824764,32.2279061368977,31.9406262415251,0,31.9528209349231,32.6045496483553,35.4664496116095
菲律宾,33.4430538296398,35.203062873733,39.6527928375548,31.9498869328603,37.8584753107681,47.2265007004694,31.9778506048576,35.651413111292,31.9484432336146,31.9528209349231,0,39.3970381606246,57.4989968962194
韩国,62.0560872039005,44.9278498396571,54.5701004526608,32.8438441921652,40.6248048055182,82.7125497470928,32.8172897781569,44.0801800236008,32.0912060821522,32.6045496483553,39.3970381606246,0,99.972214965336
中国,83.8213255247351,70.2401504538488,88.0334973720771,33.1251450933321,82.901627152962,99.9998629789864,43.6894537916881,85.7412442170261,33.8824154654011,35.4664496116095,57.4989968962194,99.972214965336,0
